time,rabbitmq_cpu,ts-admin-basic-info-service_cpu,ts-admin-order-service_cpu,ts-admin-route-service_cpu,ts-admin-travel-service_cpu,ts-admin-user-service_cpu,ts-assurance-service_cpu,ts-auth-service_cpu,ts-avatar-service_cpu,ts-basic-service_cpu,ts-cancel-service_cpu,ts-config-service_cpu,ts-consign-price-service_cpu,ts-consign-service_cpu,ts-contacts-service_cpu,ts-delivery-service_cpu,ts-execute-service_cpu,ts-food-delivery-service_cpu,ts-food-service_cpu,ts-gateway-service_cpu,ts-inside-payment-service_cpu,ts-news-service_cpu,ts-notification-service_cpu,ts-order-other-service_cpu,ts-order-service_cpu,ts-payment-service_cpu,ts-preserve-other-service_cpu,ts-preserve-service_cpu,ts-price-service_cpu,ts-rebook-service_cpu,ts-route-plan-service_cpu,ts-route-service_cpu,ts-seat-service_cpu,ts-security-service_cpu,ts-station-food-service_cpu,ts-station-service_cpu,ts-ticket-office-service_cpu,ts-train-food-service_cpu,ts-train-service_cpu,ts-travel-plan-service_cpu,ts-travel-service_cpu,ts-travel2-service_cpu,ts-ui-dashboard_cpu,ts-user-service_cpu,ts-verification-code-service_cpu,ts-voucher-service_cpu,ts-wait-order-service_cpu,tsdb-mysql-0_cpu,tsdb-mysql-1_cpu,tsdb-mysql-2_cpu,rabbitmq_mem,ts-admin-basic-info-service_mem,ts-admin-order-service_mem,ts-admin-route-service_mem,ts-admin-travel-service_mem,ts-admin-user-service_mem,ts-assurance-service_mem,ts-auth-service_mem,ts-avatar-service_mem,ts-basic-service_mem,ts-cancel-service_mem,ts-config-service_mem,ts-consign-price-service_mem,ts-consign-service_mem,ts-contacts-service_mem,ts-delivery-service_mem,ts-execute-service_mem,ts-food-delivery-service_mem,ts-food-service_mem,ts-gateway-service_mem,ts-inside-payment-service_mem,ts-news-service_mem,ts-notification-service_mem,ts-order-other-service_mem,ts-order-service_mem,ts-payment-service_mem,ts-preserve-other-service_mem,ts-preserve-service_mem,ts-price-service_mem,ts-rebook-service_mem,ts-route-plan-service_mem,ts-route-service_mem,ts-seat-service_mem,ts-security-service_mem,ts-station-food-service_mem,ts-station-service_mem,ts-ticket-office-service_mem,ts-train-food-service_mem,ts-train-service_mem,ts-travel-plan-service_mem,ts-travel-service_mem,ts-travel2-service_mem,ts-ui-dashboard_mem,ts-user-service_mem,ts-verification-code-service_mem,ts-voucher-service_mem,ts-wait-order-service_mem,tsdb-mysql-0_mem,tsdb-mysql-1_mem,tsdb-mysql-2_mem,ts-station-service_load,ts-train-service_load,ts-order-service_load,ts-travel-service_load,k8s-2_node_mem,k8s-3_node_mem,k8s-4_node_mem
1721288734,0.843414999999368,0.6457649999998695,0.6586475000000291,0.4449450000001321,0.4940675000000283,0.43547249999988935,0.4205675000002885,0.6974950000000035,0.11150749999998764,0.797662500000058,0.3229024999998842,0.5225025000001438,0.35222500000031687,0.40485749999987775,0.6381575000000339,0.48490750000013355,0.43584500000008575,0.540777500000047,0.5184074999999667,8.09181249999938,0.4980975000000854,0.041779999999995716,0.41978749999969983,0.5105374999999412,48.022150000000465,0.4606375000003026,0.3753900000000954,0.5798225000000912,0.5593074999998748,0.3517099999999118,0.5635150000000523,0.5016575000001922,0.5611025000001746,0.4118074999996679,0.3623900000002323,0.3904974999997535,0.02882999999999303,0.4032025000000772,0.5852924999999232,0.5636375000000271,0.4673924999995905,0.6010775000001445,0,0.5280374999998116,0.4995300000001635,0.018527499999994035,0.5375825000001555,3.8205750000006944,4.159612499999921,4.752292500000306,294.64453125,686.6484375,735.1328125,715.96875,685.35546875,734.8125,783.828125,823.1796875,319.04296875,688.05859375,720.015625,820.78515625,737.21484375,775.39453125,832.0390625,729.36328125,699.265625,723.23828125,904.0859375,863.6484375,786.63671875,6.65234375,805.12109375,775.25390625,885.1796875,741.26953125,604.26171875,647.16015625,773.33984375,719.46875,634.18359375,838.11328125,735.53515625,747.87890625,809.88671875,775.7890625,107.69921875,818.58203125,866.12890625,639.46484375,815.33203125,852.2109375,47.73828125,790.13671875,671.75390625,40.89453125,722.48828125,922.84765625,1300.65625,962.80078125,1,0,1,1,40.912183562865124,60.415991538227296,65.93265571959597
1721288735,0.843414999999368,0.6457649999998695,0.6586475000000291,0.4449450000001321,0.4940675000000283,0.43547249999988935,0.4205675000002885,0.6974950000000035,0.11150749999998764,0.797662500000058,0.3229024999998842,0.5225025000001438,0.35222500000031687,0.40485749999987775,0.6381575000000339,0.48490750000013355,0.43584500000008575,0.540777500000047,0.5184074999999667,8.09181249999938,0.4980975000000854,0.041779999999995716,0.41978749999969983,0.5105374999999412,48.022150000000465,0.4606375000003026,0.3753900000000954,0.5798225000000912,0.5593074999998748,0.3517099999999118,0.5635150000000523,0.5016575000001922,0.5611025000001746,0.4118074999996679,0.3623900000002323,0.3904974999997535,0.02882999999999303,0.4032025000000772,0.5852924999999232,0.5636375000000271,0.4673924999995905,0.6010775000001445,0,0.5280374999998116,0.4995300000001635,0.018527499999994035,0.5375825000001555,3.8205750000006944,4.159612499999921,4.752292500000306,294.64453125,686.6484375,735.1328125,715.96875,685.35546875,734.8125,783.828125,823.1796875,319.04296875,688.05859375,720.015625,820.78515625,737.21484375,775.39453125,832.0390625,729.36328125,699.265625,723.23828125,904.0859375,863.6484375,786.63671875,6.65234375,805.12109375,775.25390625,885.1796875,741.26953125,604.26171875,647.16015625,773.33984375,719.46875,634.18359375,838.11328125,735.53515625,747.87890625,809.88671875,775.7890625,107.69921875,818.58203125,866.12890625,639.46484375,815.33203125,852.2109375,47.73828125,790.13671875,671.75390625,40.89453125,722.48828125,922.84765625,1300.65625,962.80078125,1,0,1,1,40.912183562865124,60.415991538227296,65.93265571959597
1721288736,0.843414999999368,0.6457649999998695,0.6586475000000291,0.4449450000001321,0.4940675000000283,0.43547249999988935,0.4205675000002885,0.6974950000000035,0.11150749999998764,0.797662500000058,0.3229024999998842,0.5225025000001438,0.35222500000031687,0.40485749999987775,0.6381575000000339,0.48490750000013355,0.43584500000008575,0.540777500000047,0.5184074999999667,8.09181249999938,0.4980975000000854,0.041779999999995716,0.41978749999969983,0.5105374999999412,48.022150000000465,0.4606375000003026,0.3753900000000954,0.5798225000000912,0.5593074999998748,0.3517099999999118,0.5635150000000523,0.5016575000001922,0.5611025000001746,0.4118074999996679,0.3623900000002323,0.3904974999997535,0.02882999999999303,0.4032025000000772,0.5852924999999232,0.5636375000000271,0.4673924999995905,0.6010775000001445,0,0.5280374999998116,0.4995300000001635,0.018527499999994035,0.5375825000001555,3.8205750000006944,4.159612499999921,4.752292500000306,294.64453125,686.6484375,735.1328125,715.96875,685.35546875,734.8125,783.828125,823.1796875,319.04296875,688.05859375,720.015625,820.78515625,737.21484375,775.39453125,832.0390625,729.36328125,699.265625,723.23828125,904.0859375,863.6484375,786.63671875,6.65234375,805.12109375,775.25390625,885.1796875,741.26953125,604.26171875,647.16015625,773.33984375,719.46875,634.18359375,838.11328125,735.53515625,747.87890625,809.88671875,775.7890625,107.69921875,818.58203125,866.12890625,639.46484375,815.33203125,852.2109375,47.73828125,790.13671875,671.75390625,40.89453125,722.48828125,922.84765625,1300.65625,962.80078125,1,1,1,1,40.912183562865124,60.4210259801643,65.93265571959597
1721288737,0.8576574999995045,0.5442275000001473,0.5975700000001893,0.4449450000001321,0.4940675000000283,0.37684749999982614,0.35945500000025277,0.6090174999999931,0.08136749999998472,0.6977900000001114,0.41014499999988635,0.5225025000001438,0.5255250000001866,0.5054899999998952,0.5508475000002023,0.5072450000000117,0.43584500000008575,0.4839375000000246,0.5184074999999667,7.920352500000264,0.4980975000000854,0.041779999999995716,0.41978749999969983,0.5105374999999412,48.022150000000465,0.4889675000001148,0.3753900000000954,0.5798225000000912,0.5593074999998748,0.4562149999998155,0.5635150000000523,0.39196500000002743,0.5611025000001746,0.47362999999961636,0.4172975000003021,0.5025174999997263,0.02882999999999303,0.49163749999991074,0.5852924999999232,0.38154499999990327,0.4673924999995905,0.6010775000001445,0,0.5280374999998116,0.47466500000012957,0.018527499999994035,0.3468525000002387,4.535742499999835,3.7744449999995004,4.752292500000306,294.6484375,686.64453125,735.13671875,715.96875,685.35546875,734.8125,783.828125,823.1796875,319.04296875,688.05859375,720.1015625,820.78515625,737.21484375,775.39453125,832.0390625,729.3359375,699.265625,723.2421875,904.0859375,863.59765625,786.63671875,6.65234375,805.12109375,775.25390625,885.1796875,741.26953125,604.26171875,647.16015625,773.33984375,719.4921875,634.18359375,838.11328125,735.53515625,747.63671875,809.88671875,775.84765625,107.69921875,818.58203125,866.12890625,639.46484375,815.33203125,852.2109375,47.73828125,790.13671875,671.75390625,40.89453125,722.48828125,921.59375,1300.3984375,962.80078125,1,1,1,1,40.912183562865124,60.4210259801643,65.93265571959597
1721288738,0.8576574999995045,0.5442275000001473,0.5975700000001893,0.4449450000001321,0.4940675000000283,0.37684749999982614,0.35945500000025277,0.6090174999999931,0.08136749999998472,0.6977900000001114,0.41014499999988635,0.5225025000001438,0.5255250000001866,0.5054899999998952,0.5508475000002023,0.5072450000000117,0.43584500000008575,0.4839375000000246,0.5184074999999667,7.920352500000264,0.4980975000000854,0.041779999999995716,0.41978749999969983,0.5105374999999412,48.022150000000465,0.4889675000001148,0.3753900000000954,0.5798225000000912,0.5593074999998748,0.4562149999998155,0.5635150000000523,0.39196500000002743,0.5611025000001746,0.47362999999961636,0.4172975000003021,0.5025174999997263,0.02882999999999303,0.49163749999991074,0.5852924999999232,0.38154499999990327,0.4673924999995905,0.6010775000001445,0,0.5280374999998116,0.47466500000012957,0.018527499999994035,0.3468525000002387,4.535742499999835,3.7744449999995004,4.752292500000306,294.6484375,686.64453125,735.13671875,715.96875,685.35546875,734.8125,783.828125,823.1796875,319.04296875,688.05859375,720.1015625,820.78515625,737.21484375,775.39453125,832.0390625,729.3359375,699.265625,723.2421875,904.0859375,863.59765625,786.63671875,6.65234375,805.12109375,775.25390625,885.1796875,741.26953125,604.26171875,647.16015625,773.33984375,719.4921875,634.18359375,838.11328125,735.53515625,747.63671875,809.88671875,775.84765625,107.69921875,818.58203125,866.12890625,639.46484375,815.33203125,852.2109375,47.73828125,790.13671875,671.75390625,40.89453125,722.48828125,921.59375,1300.3984375,962.80078125,1,1,1,1,40.912183562865124,60.4210259801643,65.9481012070453
1721288739,0.8576574999995045,0.5442275000001473,0.5975700000001893,0.4449450000001321,0.4940675000000283,0.37684749999982614,0.35945500000025277,0.6090174999999931,0.08136749999998472,0.6977900000001114,0.41014499999988635,0.5225025000001438,0.5255250000001866,0.5054899999998952,0.5508475000002023,0.5072450000000117,0.43584500000008575,0.4839375000000246,0.5184074999999667,7.920352500000264,0.4980975000000854,0.041779999999995716,0.5281624999997803,0.4779050000001917,48.022150000000465,0.4889675000001148,0.43976750000013004,0.5798225000000912,0.47759499999983746,0.4562149999998155,0.5635150000000523,0.39196500000002743,0.49313500000010885,0.47362999999961636,0.4172975000003021,0.5025174999997263,0.026344999999996514,0.49163749999991074,0.48046250000027163,0.38154499999990327,0.4673924999995905,0.7440825000000473,0,0.5280374999998116,0.47466500000012957,0.02429999999999488,0.3468525000002387,4.535742499999835,3.7744449999995004,3.3988449999996373,294.6484375,686.64453125,735.13671875,715.96875,685.35546875,734.8125,783.828125,823.1796875,319.04296875,688.05859375,720.1015625,820.78515625,737.21484375,775.39453125,832.0390625,729.3359375,699.265625,723.2421875,904.0859375,863.59765625,786.63671875,6.65234375,805.09375,775.28125,885.1796875,741.26953125,604.234375,647.16015625,773.33984375,719.4921875,634.18359375,838.11328125,735.53515625,747.63671875,809.88671875,775.84765625,107.69921875,818.58203125,866.12890625,639.46484375,815.33203125,852.2109375,47.73828125,790.13671875,671.75390625,40.89453125,722.48828125,921.59375,1300.3984375,962.80078125,1,1,1,1,40.92909540232582,60.4210259801643,65.9481012070453
1721288740,0.8576574999995045,0.5442275000001473,0.5975700000001893,0.4449450000001321,0.4940675000000283,0.37684749999982614,0.35945500000025277,0.6090174999999931,0.08136749999998472,0.6977900000001114,0.41014499999988635,0.5225025000001438,0.5255250000001866,0.5054899999998952,0.5508475000002023,0.5072450000000117,0.43584500000008575,0.4839375000000246,0.5184074999999667,7.920352500000264,0.4980975000000854,0.041779999999995716,0.5281624999997803,0.4779050000001917,48.022150000000465,0.4889675000001148,0.43976750000013004,0.5798225000000912,0.47759499999983746,0.4562149999998155,0.5635150000000523,0.39196500000002743,0.49313500000010885,0.47362999999961636,0.4172975000003021,0.5025174999997263,0.026344999999996514,0.49163749999991074,0.48046250000027163,0.38154499999990327,0.4673924999995905,0.7440825000000473,0,0.5280374999998116,0.47466500000012957,0.02429999999999488,0.3468525000002387,4.535742499999835,3.7744449999995004,3.3988449999996373,294.6484375,686.64453125,735.13671875,715.96875,685.35546875,734.8125,783.828125,823.1796875,319.04296875,688.05859375,720.1015625,820.78515625,737.21484375,775.39453125,832.0390625,729.3359375,699.265625,723.2421875,904.0859375,863.59765625,786.63671875,6.65234375,805.09375,775.28125,885.1796875,741.26953125,604.234375,647.16015625,773.33984375,719.4921875,634.18359375,838.11328125,735.53515625,747.63671875,809.88671875,775.84765625,107.69921875,818.58203125,866.12890625,639.46484375,815.33203125,852.2109375,47.73828125,790.13671875,671.75390625,40.89453125,722.48828125,921.59375,1300.3984375,962.80078125,1,1,1,1,40.92909540232582,60.4210259801643,65.9481012070453
1721288741,0.8576574999995045,0.5442275000001473,0.5975700000001893,0.4449450000001321,0.4940675000000283,0.37684749999982614,0.35945500000025277,0.6090174999999931,0.08136749999998472,0.6977900000001114,0.41014499999988635,0.5225025000001438,0.5255250000001866,0.5054899999998952,0.5508475000002023,0.5072450000000117,0.43584500000008575,0.4839375000000246,0.5184074999999667,7.920352500000264,0.4980975000000854,0.041779999999995716,0.5281624999997803,0.4779050000001917,48.022150000000465,0.4889675000001148,0.43976750000013004,0.5798225000000912,0.47759499999983746,0.4562149999998155,0.5635150000000523,0.39196500000002743,0.49313500000010885,0.47362999999961636,0.4172975000003021,0.5025174999997263,0.026344999999996514,0.49163749999991074,0.48046250000027163,0.38154499999990327,0.4673924999995905,0.7440825000000473,0,0.5280374999998116,0.47466500000012957,0.02429999999999488,0.3468525000002387,4.535742499999835,3.7744449999995004,3.3988449999996373,294.6484375,686.64453125,735.13671875,715.96875,685.35546875,734.8125,783.828125,823.1796875,319.04296875,688.05859375,720.1015625,820.78515625,737.21484375,775.39453125,832.0390625,729.3359375,699.265625,723.2421875,904.0859375,863.59765625,786.63671875,6.65234375,805.09375,775.28125,885.1796875,741.26953125,604.234375,647.16015625,773.33984375,719.4921875,634.18359375,838.11328125,735.53515625,747.63671875,809.88671875,775.84765625,107.69921875,818.58203125,866.12890625,639.46484375,815.33203125,852.2109375,47.73828125,790.13671875,671.75390625,40.89453125,722.48828125,921.59375,1300.3984375,962.80078125,1,1,1,1,40.92909540232582,60.45663365930123,65.9481012070453
1721288742,2.2862799999995786,0.5442275000001473,0.40644500000013295,0.541837500000213,0.4140674999999306,0.37684749999982614,0.4635425000000737,0.6085575000000176,0.09442249999995767,0.6977900000001114,0.5384849999998664,0.41566250000016686,0.36035499999997006,0.5054899999998952,0.4292250000003151,0.491237500000068,0.43584500000008575,0.4839375000000246,0.4636024999999222,6.502997500001584,0.3151325000001748,0.04502999999999702,0.5281624999997803,0.4779050000001917,29.291657500000383,0.4146025000000009,0.43976750000013004,0.49551500000006854,0.47759499999983746,0.5616324999999733,0.44833750000009326,0.4278974999996877,0.49313500000010885,0.47362999999961636,0.5177850000001172,0.485529999999983,0.026344999999996514,0.4700149999999325,0.48046250000027163,0.49684999999982443,0.6370000000001143,0.7440825000000473,0,0.4634074999998461,0.47037999999986374,0.02429999999999488,0.4342625000001021,4.0427649999996405,3.4937499999993626,3.3988449999996373,294.6484375,686.64453125,735.13671875,716.0546875,685.35546875,734.8125,783.8515625,823.18359375,319.04296875,688.05859375,720.10546875,820.78515625,737.21484375,775.39453125,832.0390625,729.42578125,699.265625,723.2421875,904.02734375,863.59765625,786.63671875,6.65234375,805.09375,775.28125,885.17578125,741.26953125,604.234375,647.16015625,773.33984375,719.4921875,634.18359375,838.140625,735.53515625,747.63671875,809.89453125,775.90625,107.69921875,818.58203125,866.12890625,639.73828125,815.27734375,852.2109375,47.73828125,790.13671875,671.7734375,40.89453125,722.4609375,921.59375,1300.3984375,962.80078125,1,1,1,1,40.92909540232582,60.45663365930123,65.9481012070453
1721288743,2.2862799999995786,0.5442275000001473,0.40644500000013295,0.541837500000213,0.4140674999999306,0.37684749999982614,0.4635425000000737,0.6085575000000176,0.09442249999995767,0.6977900000001114,0.5384849999998664,0.41566250000016686,0.36035499999997006,0.5054899999998952,0.4292250000003151,0.491237500000068,0.43584500000008575,0.4839375000000246,0.4636024999999222,6.502997500001584,0.3151325000001748,0.04502999999999702,0.5281624999997803,0.4779050000001917,29.291657500000383,0.4146025000000009,0.43976750000013004,0.49551500000006854,0.47759499999983746,0.5616324999999733,0.44833750000009326,0.4278974999996877,0.49313500000010885,0.47362999999961636,0.5177850000001172,0.485529999999983,0.026344999999996514,0.4700149999999325,0.48046250000027163,0.49684999999982443,0.6370000000001143,0.7440825000000473,0,0.4634074999998461,0.47037999999986374,0.02429999999999488,0.4342625000001021,4.0427649999996405,3.4937499999993626,3.3988449999996373,294.6484375,686.64453125,735.13671875,716.0546875,685.35546875,734.8125,783.8515625,823.18359375,319.04296875,688.05859375,720.10546875,820.78515625,737.21484375,775.39453125,832.0390625,729.42578125,699.265625,723.2421875,904.02734375,863.59765625,786.63671875,6.65234375,805.09375,775.28125,885.17578125,741.26953125,604.234375,647.16015625,773.33984375,719.4921875,634.18359375,838.140625,735.53515625,747.63671875,809.89453125,775.90625,107.69921875,818.58203125,866.12890625,639.73828125,815.27734375,852.2109375,47.73828125,790.13671875,671.7734375,40.89453125,722.4609375,921.59375,1300.3984375,962.80078125,1,1,1,1,40.92909540232582,60.45663365930123,65.95118052891019
