time,rabbitmq_cpu,ts-admin-basic-info-service_cpu,ts-admin-order-service_cpu,ts-admin-route-service_cpu,ts-admin-travel-service_cpu,ts-admin-user-service_cpu,ts-assurance-service_cpu,ts-auth-service_cpu,ts-avatar-service_cpu,ts-basic-service_cpu,ts-cancel-service_cpu,ts-config-service_cpu,ts-consign-price-service_cpu,ts-consign-service_cpu,ts-contacts-service_cpu,ts-delivery-service_cpu,ts-execute-service_cpu,ts-food-delivery-service_cpu,ts-food-service_cpu,ts-gateway-service_cpu,ts-inside-payment-service_cpu,ts-news-service_cpu,ts-notification-service_cpu,ts-order-other-service_cpu,ts-order-service_cpu,ts-payment-service_cpu,ts-preserve-other-service_cpu,ts-preserve-service_cpu,ts-price-service_cpu,ts-rebook-service_cpu,ts-route-plan-service_cpu,ts-route-service_cpu,ts-seat-service_cpu,ts-security-service_cpu,ts-station-food-service_cpu,ts-station-service_cpu,ts-ticket-office-service_cpu,ts-train-food-service_cpu,ts-train-service_cpu,ts-travel-plan-service_cpu,ts-travel-service_cpu,ts-travel2-service_cpu,ts-ui-dashboard_cpu,ts-user-service_cpu,ts-verification-code-service_cpu,ts-voucher-service_cpu,ts-wait-order-service_cpu,tsdb-mysql-0_cpu,tsdb-mysql-1_cpu,tsdb-mysql-2_cpu,rabbitmq_mem,ts-admin-basic-info-service_mem,ts-admin-order-service_mem,ts-admin-route-service_mem,ts-admin-travel-service_mem,ts-admin-user-service_mem,ts-assurance-service_mem,ts-auth-service_mem,ts-avatar-service_mem,ts-basic-service_mem,ts-cancel-service_mem,ts-config-service_mem,ts-consign-price-service_mem,ts-consign-service_mem,ts-contacts-service_mem,ts-delivery-service_mem,ts-execute-service_mem,ts-food-delivery-service_mem,ts-food-service_mem,ts-gateway-service_mem,ts-inside-payment-service_mem,ts-news-service_mem,ts-notification-service_mem,ts-order-other-service_mem,ts-order-service_mem,ts-payment-service_mem,ts-preserve-other-service_mem,ts-preserve-service_mem,ts-price-service_mem,ts-rebook-service_mem,ts-route-plan-service_mem,ts-route-service_mem,ts-seat-service_mem,ts-security-service_mem,ts-station-food-service_mem,ts-station-service_mem,ts-ticket-office-service_mem,ts-train-food-service_mem,ts-train-service_mem,ts-travel-plan-service_mem,ts-travel-service_mem,ts-travel2-service_mem,ts-ui-dashboard_mem,ts-user-service_mem,ts-verification-code-service_mem,ts-voucher-service_mem,ts-wait-order-service_mem,tsdb-mysql-0_mem,tsdb-mysql-1_mem,tsdb-mysql-2_mem,ts-station-service_load,ts-train-service_load,ts-order-service_load,ts-travel-service_load,k8s-2_node_cpu,k8s-3_node_cpu,k8s-4_node_cpu
1721319299,2.39097,0.6372925,0.5039975,0.6525475,0.53767,0.4864175,0.5970575,0.4176,0.12768,1.2056,0.56575,0.5782125,0.4490375,0.566045,0.6491625,0.59535,0.5107775,0.597875,0.7402625,7.43175,0.5733375,0.019285,0.519565,0.44516,0.5306025,0.555705,0.39213,0.3848025,0.6713875,0.63131,0.492375,0.6001525,0.4311875,0.4685525,0.567895,0.5563175,0.0314175,0.4549925,0.476745,0.70462,0.5880375,0.7880875,0,0.575945,0.6294625,0.05011,0.5146225,3.561525,3.8117575,2.6396525,294.3945313,672.8046875,732.1796875,698.1757813,662.6328125,710.6289063,780.84375,832.484375,319.0507813,680.2773438,717.0234375,813.3203125,733.4101563,772.0976563,829.6484375,726.2304688,697.8867188,718.8164063,884.0117188,1061.78125,782.6601563,6.56640625,797.7226563,771.65625,999.234375,737.2265625,598.4960938,636.9179688,769.796875,703.265625,630.8125,819.4375,733.8554688,743.96875,802.1679688,837.6914063,104.3476563,795.5859375,930.40625,636.2304688,893.7617188,848.7070313,47.89453125,788.5625,659.9726563,40.89453125,718.078125,895.0976563,1838.570313,963.125,1,9,1,1,751.26901,33.04783,54.27797
1721319300,2.39097,0.6372925,0.5039975,0.6525475,0.53767,0.4864175,0.5970575,0.4176,0.12768,1.2056,0.56575,0.5782125,0.4490375,0.566045,0.6491625,0.59535,0.5107775,0.597875,0.7402625,7.43175,0.5733375,0.019285,0.519565,0.44516,0.5306025,0.555705,0.39213,0.3848025,0.6713875,0.63131,0.492375,0.6001525,0.4311875,0.4685525,0.567895,0.5563175,0.0314175,0.4549925,0.476745,0.70462,0.5880375,0.7880875,0,0.575945,0.6294625,0.05011,0.5146225,3.561525,3.8117575,2.6396525,294.3945313,672.8046875,732.1796875,698.1757813,662.6328125,710.6289063,780.84375,832.484375,319.0507813,680.2773438,717.0234375,813.3203125,733.4101563,772.0976563,829.6484375,726.2304688,697.8867188,718.8164063,884.0117188,1061.78125,782.6601563,6.56640625,797.7226563,771.65625,999.234375,737.2265625,598.4960938,636.9179688,769.796875,703.265625,630.8125,819.4375,733.8554688,743.96875,802.1679688,837.6914063,104.3476563,795.5859375,930.40625,636.2304688,893.7617188,848.7070313,47.89453125,788.5625,659.9726563,40.89453125,718.078125,895.0976563,1838.570313,963.125,1,9,1,1,751.26901,33.04783,54.27797
1721319301,2.39097,0.6372925,0.5039975,0.6525475,0.53767,0.4864175,0.5970575,0.4176,0.12768,1.2056,0.56575,0.5782125,0.4490375,0.566045,0.6491625,0.59535,0.5107775,0.597875,0.7402625,7.43175,0.5733375,0.019285,0.519565,0.44516,0.5306025,0.555705,0.39213,0.3848025,0.6713875,0.63131,0.492375,0.6001525,0.4311875,0.4685525,0.567895,0.5563175,0.0314175,0.4549925,0.476745,0.70462,0.5880375,0.7880875,0,0.575945,0.6294625,0.05011,0.5146225,3.561525,3.8117575,2.6396525,294.3945313,672.8046875,732.1796875,698.1757813,662.6328125,710.6289063,780.84375,832.484375,319.0507813,680.2773438,717.0234375,813.3203125,733.4101563,772.0976563,829.6484375,726.2304688,697.8867188,718.8164063,884.0117188,1061.78125,782.6601563,6.56640625,797.7226563,771.65625,999.234375,737.2265625,598.4960938,636.9179688,769.796875,703.265625,630.8125,819.4375,733.8554688,743.96875,802.1679688,837.6914063,104.3476563,795.5859375,930.40625,636.2304688,893.7617188,848.7070313,47.89453125,788.5625,659.9726563,40.89453125,718.078125,895.0976563,1838.570313,963.125,1,9,9,1,751.26901,34.87283,54.27797
1721319302,0.812125,0.3909275,0.4770575,0.566985,0.53767,0.4864175,0.5970575,0.894855,0.12768,1.42423,0.4977025,0.5782125,0.390555,0.6349475,0.6491625,0.59535,0.5107775,0.393225,0.6010175,8.7483675,0.38686,0.0172925,0.519565,0.44516,0.68269,0.4172675,0.39213,0.7378375,0.6713875,0.45679,0.4220225,0.6001525,0.4311875,0.48629,0.4820775,0.5563175,0.0314175,0.4773625,0.476745,0.43831,0.5691675,0.7880875,0,0.6910325,0.517135,0.05011,0.458375,4.1219975,4.623915,2.6396525,294.3945313,672.8046875,732.1992188,698.1757813,662.6328125,710.6289063,780.84375,832.1523438,319.0507813,680.34375,717.0234375,813.3203125,733.4101563,772.1015625,829.6484375,726.2304688,697.8867188,718.8164063,884.0117188,1061.703125,782.6601563,6.56640625,797.7226563,771.65625,999.4648438,737.2265625,598.4960938,637.0195313,769.796875,703.265625,630.8125,819.4375,733.8554688,743.9453125,802.1679688,837.6914063,104.3476563,795.5820313,930.40625,636.2304688,893.7617188,848.7070313,47.89453125,788.59375,659.9726563,40.89453125,718.0820313,895.09375,1838.617188,963.125,1,9,9,1,751.26901,35.9821025,42.97564
1721319303,0.812125,0.3909275,0.4770575,0.566985,0.53767,0.4864175,0.5970575,0.894855,0.12768,1.42423,0.4977025,0.5782125,0.390555,0.6349475,0.6491625,0.59535,0.5107775,0.393225,0.6010175,8.7483675,0.38686,0.0172925,0.519565,0.44516,0.68269,0.4172675,0.39213,0.7378375,0.6713875,0.45679,0.4220225,0.6001525,0.4311875,0.48629,0.4820775,0.5563175,0.0314175,0.4773625,0.476745,0.43831,0.5691675,0.7880875,0,0.6910325,0.517135,0.05011,0.458375,4.1219975,4.623915,2.6396525,294.3945313,672.8046875,732.1992188,698.1757813,662.6328125,710.6289063,780.84375,832.1523438,319.0507813,680.34375,717.0234375,813.3203125,733.4101563,772.1015625,829.6484375,726.2304688,697.8867188,718.8164063,884.0117188,1061.703125,782.6601563,6.56640625,797.7226563,771.65625,999.4648438,737.2265625,598.4960938,637.0195313,769.796875,703.265625,630.8125,819.4375,733.8554688,743.9453125,802.1679688,837.6914063,104.3476563,795.5820313,930.40625,636.2304688,893.7617188,848.7070313,47.89453125,788.59375,659.9726563,40.89453125,718.0820313,895.09375,1838.617188,963.125,1,9,9,1,751.26901,35.9821025,42.50064
1721319304,0.812125,0.3909275,0.4770575,0.566985,0.53767,0.4864175,0.5970575,0.894855,0.12768,1.42423,0.4977025,0.5782125,0.390555,0.6349475,0.6491625,0.59535,0.5534725,0.393225,0.6010175,8.7483675,0.38686,0.0172925,0.519565,0.490755,0.68269,0.4172675,0.39213,0.7378375,0.6971,0.45679,0.4220225,0.6001525,0.3765325,0.48629,0.4820775,0.5563175,0.0332825,0.4773625,0.3870325,0.43831,0.5691675,0.78461,0,0.6910325,0.517135,0.0441275,0.458375,4.1219975,4.623915,2.23824,294.3945313,672.8046875,732.1992188,698.1757813,662.6328125,710.6289063,780.84375,832.1523438,319.0507813,680.34375,717.0234375,813.3203125,733.4101563,772.1015625,829.6484375,726.2304688,697.8828125,718.8164063,884.0117188,1061.703125,782.6601563,6.56640625,797.7226563,771.671875,999.4648438,737.2265625,598.4960938,637.0195313,769.8007813,703.265625,630.8125,819.4375,733.90625,743.9453125,802.1679688,837.6914063,104.3554688,795.5820313,930.4023438,636.2304688,893.7617188,848.640625,47.89453125,788.59375,659.9726563,40.89453125,718.0820313,895.09375,1838.617188,963.125,1,1,9,1,775.972795,35.9821025,42.50064
1721319305,0.812125,0.3909275,0.4770575,0.566985,0.53767,0.4864175,0.5970575,0.894855,0.12768,1.42423,0.4977025,0.5782125,0.390555,0.6349475,0.6491625,0.59535,0.5534725,0.393225,0.6010175,8.7483675,0.38686,0.0172925,0.519565,0.490755,0.68269,0.4172675,0.39213,0.7378375,0.6971,0.45679,0.4220225,0.6001525,0.3765325,0.48629,0.4820775,0.5563175,0.0332825,0.4773625,0.3870325,0.43831,0.5691675,0.78461,0,0.6910325,0.517135,0.0441275,0.458375,4.1219975,4.623915,2.23824,294.3945313,672.8046875,732.1992188,698.1757813,662.6328125,710.6289063,780.84375,832.1523438,319.0507813,680.34375,717.0234375,813.3203125,733.4101563,772.1015625,829.6484375,726.2304688,697.8828125,718.8164063,884.0117188,1061.703125,782.6601563,6.56640625,797.7226563,771.671875,999.4648438,737.2265625,598.4960938,637.0195313,769.8007813,703.265625,630.8125,819.4375,733.90625,743.9453125,802.1679688,837.6914063,104.3554688,795.5820313,930.4023438,636.2304688,893.7617188,848.640625,47.89453125,788.59375,659.9726563,40.89453125,718.0820313,895.09375,1838.617188,963.125,1,1,1,1,775.972795,35.9821025,42.50064
1721319306,0.812125,0.3909275,0.4770575,0.566985,0.53767,0.4864175,0.5970575,0.894855,0.12768,1.42423,0.4977025,0.5782125,0.390555,0.6349475,0.6491625,0.59535,0.5534725,0.393225,0.6010175,8.7483675,0.38686,0.0172925,0.519565,0.490755,0.68269,0.4172675,0.39213,0.7378375,0.6971,0.45679,0.4220225,0.6001525,0.3765325,0.48629,0.4820775,0.5563175,0.0332825,0.4773625,0.3870325,0.43831,0.5691675,0.78461,0,0.6910325,0.517135,0.0441275,0.458375,4.1219975,4.623915,2.23824,294.3945313,672.8046875,732.1992188,698.1757813,662.6328125,710.6289063,780.84375,832.1523438,319.0507813,680.34375,717.0234375,813.3203125,733.4101563,772.1015625,829.6484375,726.2304688,697.8828125,718.8164063,884.0117188,1061.703125,782.6601563,6.56640625,797.7226563,771.671875,999.4648438,737.2265625,598.4960938,637.0195313,769.8007813,703.265625,630.8125,819.4375,733.90625,743.9453125,802.1679688,837.6914063,104.3554688,795.5820313,930.4023438,636.2304688,893.7617188,848.640625,47.89453125,788.59375,659.9726563,40.89453125,718.0820313,895.09375,1838.617188,963.125,1,1,1,1,775.972795,32.3071025,42.50064
1721319307,1.17949,0.62821,0.4770575,0.44476,0.43418,0.4998375,0.40814,0.764615,0.0984275,1.2149875,0.579555,0.5568825,0.66383,0.51555,0.4728125,0.4032625,0.5534725,0.515685,0.753925,10.581935,0.572155,0.0130625,0.519565,0.490755,0.5888825,0.437675,0.39213,0.5712725,0.6971,0.45679,0.51066,0.46659,0.3765325,0.48629,0.4820775,0.48009,0.0332825,0.4773625,0.3870325,0.567005,0.5691675,0.78461,0,0.56769,0.517135,0.0441275,0.458375,3.2280725,5.110385,2.23824,294.3945313,672.8671875,732.1992188,698.1757813,662.6328125,710.5976563,780.84375,832.1523438,319.0507813,680.34375,717.0507813,813.3632813,733.6445313,772.1015625,829.6484375,726.2304688,697.8828125,718.8125,884.1289063,1061.808594,782.6289063,6.56640625,797.7226563,771.671875,999.4648438,737.2265625,598.4960938,637.0195313,769.8007813,703.265625,630.7578125,819.4375,733.90625,743.9453125,802.1679688,837.6914063,104.3554688,795.5820313,930.4023438,636.1953125,893.7617188,848.640625,47.89453125,788.59375,659.9726563,40.89453125,718.0820313,895.0976563,1838.371094,963.125,1,1,1,1,775.972795,37.8959575,47.2662775
1721319308,1.17949,0.62821,0.4770575,0.44476,0.43418,0.4998375,0.40814,0.764615,0.0984275,1.2149875,0.579555,0.5568825,0.66383,0.51555,0.4728125,0.4032625,0.5534725,0.515685,0.753925,10.581935,0.572155,0.0130625,0.519565,0.490755,0.5888825,0.437675,0.39213,0.5712725,0.6971,0.45679,0.51066,0.46659,0.3765325,0.48629,0.4820775,0.48009,0.0332825,0.4773625,0.3870325,0.567005,0.5691675,0.78461,0,0.56769,0.517135,0.0441275,0.458375,3.2280725,5.110385,2.23824,294.3945313,672.8671875,732.1992188,698.1757813,662.6328125,710.5976563,780.84375,832.1523438,319.0507813,680.34375,717.0507813,813.3632813,733.6445313,772.1015625,829.6484375,726.2304688,697.8828125,718.8125,884.1289063,1061.808594,782.6289063,6.56640625,797.7226563,771.671875,999.4648438,737.2265625,598.4960938,637.0195313,769.8007813,703.265625,630.7578125,819.4375,733.90625,743.9453125,802.1679688,837.6914063,104.3554688,795.5820313,930.4023438,636.1953125,893.7617188,848.640625,47.89453125,788.59375,659.9726563,40.89453125,718.0820313,895.0976563,1838.371094,963.125,1,1,1,1,775.972795,37.8959575,45.8412775
