time,rabbitmq_cpu,ts-admin-basic-info-service_cpu,ts-admin-order-service_cpu,ts-admin-route-service_cpu,ts-admin-travel-service_cpu,ts-admin-user-service_cpu,ts-assurance-service_cpu,ts-auth-service_cpu,ts-avatar-service_cpu,ts-basic-service_cpu,ts-cancel-service_cpu,ts-config-service_cpu,ts-consign-price-service_cpu,ts-consign-service_cpu,ts-contacts-service_cpu,ts-delivery-service_cpu,ts-execute-service_cpu,ts-food-delivery-service_cpu,ts-food-service_cpu,ts-gateway-service_cpu,ts-inside-payment-service_cpu,ts-news-service_cpu,ts-notification-service_cpu,ts-order-other-service_cpu,ts-order-service_cpu,ts-payment-service_cpu,ts-preserve-other-service_cpu,ts-preserve-service_cpu,ts-price-service_cpu,ts-rebook-service_cpu,ts-route-plan-service_cpu,ts-route-service_cpu,ts-seat-service_cpu,ts-security-service_cpu,ts-station-food-service_cpu,ts-station-service_cpu,ts-ticket-office-service_cpu,ts-train-food-service_cpu,ts-train-service_cpu,ts-travel-plan-service_cpu,ts-travel-service_cpu,ts-travel2-service_cpu,ts-ui-dashboard_cpu,ts-user-service_cpu,ts-verification-code-service_cpu,ts-voucher-service_cpu,ts-wait-order-service_cpu,tsdb-mysql-0_cpu,tsdb-mysql-1_cpu,tsdb-mysql-2_cpu,rabbitmq_mem,ts-admin-basic-info-service_mem,ts-admin-order-service_mem,ts-admin-route-service_mem,ts-admin-travel-service_mem,ts-admin-user-service_mem,ts-assurance-service_mem,ts-auth-service_mem,ts-avatar-service_mem,ts-basic-service_mem,ts-cancel-service_mem,ts-config-service_mem,ts-consign-price-service_mem,ts-consign-service_mem,ts-contacts-service_mem,ts-delivery-service_mem,ts-execute-service_mem,ts-food-delivery-service_mem,ts-food-service_mem,ts-gateway-service_mem,ts-inside-payment-service_mem,ts-news-service_mem,ts-notification-service_mem,ts-order-other-service_mem,ts-order-service_mem,ts-payment-service_mem,ts-preserve-other-service_mem,ts-preserve-service_mem,ts-price-service_mem,ts-rebook-service_mem,ts-route-plan-service_mem,ts-route-service_mem,ts-seat-service_mem,ts-security-service_mem,ts-station-food-service_mem,ts-station-service_mem,ts-ticket-office-service_mem,ts-train-food-service_mem,ts-train-service_mem,ts-travel-plan-service_mem,ts-travel-service_mem,ts-travel2-service_mem,ts-ui-dashboard_mem,ts-user-service_mem,ts-verification-code-service_mem,ts-voucher-service_mem,ts-wait-order-service_mem,tsdb-mysql-0_mem,tsdb-mysql-1_mem,tsdb-mysql-2_mem,ts-station-service_load,ts-train-service_load,ts-order-service_load,ts-travel-service_load,k8s-2_node_cpu,k8s-3_node_cpu,k8s-4_node_cpu,k8s-2_node_mem,k8s-3_node_mem,k8s-4_node_mem
1721284537,4.4853975,0.6769875,0.5064625,0.577475,0.527515,0.8682725,0.50001,0.45712,0.1174475,0.44151,0.6599625,0.5550075,3.10513,0.49488,0.85635,0.45276,0.4347775,0.5357575,1.740555,8.8060825,0.4551375,0.0191575,0.4372775,0.414135,0.6161425,0.36309,0.4136875,0.4799025,0.41169,0.5783625,0.57472,0.6209125,0.51931,0.377805,0.5077275,0.50378,0.0443125,0.5291025,0.4994625,0.56856,1.960405,0.63421,0,0.494625,0.635325,0.022345,0.5610375,4.278315,4.409995,4.355865,294.4257813,686.3046875,737.4609375,717.0898438,687.1601563,735.8007813,785.6132813,825.1445313,319.046875,709.1015625,720.0976563,821.7265625,739.2148438,774.9960938,833.1289063,729.5703125,701.4414063,724.1835938,903.5546875,862.9804688,786.75,6.58984375,806.046875,777.1367188,883.5546875,742.2929688,605.1601563,647.1953125,773.4179688,720.4335938,634.015625,840.0976563,737.3789063,747.6132813,812.8515625,781.1328125,104.1289063,819.9453125,866.1210938,640.203125,806.7265625,852.046875,47.73828125,791.9804688,672.6757813,40.89453125,723.3359375,978.828125,1297.777344,962.8085938,1,1,1,1,8.834375,12.603125,11.921875,40.91452971,60.48762236,65.93417094
1721284538,4.4853975,0.6769875,0.5064625,0.577475,0.527515,0.8682725,0.50001,0.45712,0.1174475,0.44151,0.6599625,0.5550075,3.10513,0.49488,0.85635,0.45276,0.4347775,0.5357575,1.740555,8.8060825,0.4551375,0.0191575,0.4372775,0.414135,0.6161425,0.36309,0.4136875,0.4799025,0.41169,0.5783625,0.57472,0.6209125,0.51931,0.377805,0.5077275,0.50378,0.0443125,0.5291025,0.4994625,0.56856,1.960405,0.63421,0,0.494625,0.635325,0.022345,0.5610375,4.278315,4.409995,4.355865,294.4257813,686.3046875,737.4609375,717.0898438,687.1601563,735.8007813,785.6132813,825.1445313,319.046875,709.1015625,720.0976563,821.7265625,739.2148438,774.9960938,833.1289063,729.5703125,701.4414063,724.1835938,903.5546875,862.9804688,786.75,6.58984375,806.046875,777.1367188,883.5546875,742.2929688,605.1601563,647.1953125,773.4179688,720.4335938,634.015625,840.0976563,737.3789063,747.6132813,812.8515625,781.1328125,104.1289063,819.9453125,866.1210938,640.203125,806.7265625,852.046875,47.73828125,791.9804688,672.6757813,40.89453125,723.3359375,978.828125,1297.777344,962.8085938,1,1,1,1,8.834375,12.603125,12.39375,40.91452971,60.48762236,65.94924984
1721284539,4.4853975,0.6769875,0.5064625,0.577475,0.527515,0.8682725,0.50001,0.45712,0.1174475,0.44151,0.6599625,0.5550075,3.10513,0.49488,0.85635,0.45276,0.5214575,0.5357575,1.740555,8.8060825,0.4551375,0.0191575,0.5456325,0.414135,0.6161425,0.36309,0.4136875,0.4799025,0.4135025,0.5783625,0.57472,0.6209125,0.5181675,0.377805,0.5077275,0.50378,0.052665,0.5291025,0.4033025,0.56856,1.960405,0.52393,0,0.494625,0.635325,0.027265,0.5610375,4.278315,4.409995,3.3884225,294.4257813,686.3046875,737.4609375,717.0898438,687.1601563,735.8007813,785.6132813,825.1445313,319.046875,709.1015625,720.0976563,821.7265625,739.2148438,774.9960938,833.1289063,729.5703125,701.4179688,724.1835938,903.5546875,862.9804688,786.75,6.58984375,806.0507813,777.1367188,883.5546875,742.2929688,605.1601563,647.1953125,773.4140625,720.4335938,634.015625,840.0976563,737.3867188,747.6132813,812.8515625,781.1328125,104.1523438,819.9453125,866.1210938,640.203125,806.7265625,852.0742188,47.73828125,791.9804688,672.6757813,40.89453125,723.3359375,978.828125,1297.777344,962.7929688,1,1,1,1,9.071875,12.603125,12.39375,40.92811784,60.48762236,65.94924984
1721284540,4.4853975,0.6769875,0.5064625,0.577475,0.527515,0.8682725,0.50001,0.45712,0.1174475,0.44151,0.6599625,0.5550075,3.10513,0.49488,0.85635,0.45276,0.5214575,0.5357575,1.740555,8.8060825,0.4551375,0.0191575,0.5456325,0.414135,0.6161425,0.36309,0.4136875,0.4799025,0.4135025,0.5783625,0.57472,0.6209125,0.5181675,0.377805,0.5077275,0.50378,0.052665,0.5291025,0.4033025,0.56856,1.960405,0.52393,0,0.494625,0.635325,0.027265,0.5610375,4.278315,4.409995,3.3884225,294.4257813,686.3046875,737.4609375,717.0898438,687.1601563,735.8007813,785.6132813,825.1445313,319.046875,709.1015625,720.0976563,821.7265625,739.2148438,774.9960938,833.1289063,729.5703125,701.4179688,724.1835938,903.5546875,862.9804688,786.75,6.58984375,806.0507813,777.1367188,883.5546875,742.2929688,605.1601563,647.1953125,773.4140625,720.4335938,634.015625,840.0976563,737.3867188,747.6132813,812.8515625,781.1328125,104.1523438,819.9453125,866.1210938,640.203125,806.7265625,852.0742188,47.73828125,791.9804688,672.6757813,40.89453125,723.3359375,978.828125,1297.777344,962.7929688,1,1,1,1,9.071875,12.603125,12.39375,40.92811784,60.48762236,65.94924984
1721284541,4.4853975,0.6769875,0.5064625,0.577475,0.527515,0.8682725,0.50001,0.45712,0.1174475,0.44151,0.6599625,0.5550075,3.10513,0.49488,0.85635,0.45276,0.5214575,0.5357575,1.740555,8.8060825,0.4551375,0.0191575,0.5456325,0.414135,0.6161425,0.36309,0.4136875,0.4799025,0.4135025,0.5783625,0.57472,0.6209125,0.5181675,0.377805,0.5077275,0.50378,0.052665,0.5291025,0.4033025,0.56856,1.960405,0.52393,0,0.494625,0.635325,0.027265,0.5610375,4.278315,4.409995,3.3884225,294.4257813,686.3046875,737.4609375,717.0898438,687.1601563,735.8007813,785.6132813,825.1445313,319.046875,709.1015625,720.0976563,821.7265625,739.2148438,774.9960938,833.1289063,729.5703125,701.4179688,724.1835938,903.5546875,862.9804688,786.75,6.58984375,806.0507813,777.1367188,883.5546875,742.2929688,605.1601563,647.1953125,773.4140625,720.4335938,634.015625,840.0976563,737.3867188,747.6132813,812.8515625,781.1328125,104.1523438,819.9453125,866.1210938,640.203125,806.7265625,852.0742188,47.73828125,791.9804688,672.6757813,40.89453125,723.3359375,978.828125,1297.777344,962.7929688,1,1,1,1,9.071875,12.415625,12.39375,40.92811784,60.42491179,65.94924984
1721284542,4.6552425,0.388955,0.3042425,0.577475,0.65182,0.8682725,0.422695,0.542905,0.1413325,0.575835,0.5517225,0.6132375,3.2428075,0.405075,0.761945,0.54303,0.5214575,0.437555,1.54039,8.152735,0.467195,0.0167325,0.5456325,0.414135,0.50067,0.57017,0.4136875,0.5646425,0.4135025,0.6450675,0.8440325,0.77487,0.5181675,0.500505,0.5077275,0.50378,0.052665,0.460495,0.4033025,0.56856,1.960405,0.52393,0,0.494625,0.635325,0.027265,0.4414825,3.4785375,4.824425,3.3884225,294.5351563,686.3046875,737.4609375,717.0898438,687.1601563,735.8007813,785.6132813,825.1679688,319.0429688,709.1132813,720.0976563,821.6992188,739.265625,774.9960938,833.1289063,729.5429688,701.4179688,724.1835938,903.5273438,862.9140625,786.7265625,6.58984375,806.0507813,777.1367188,883.5546875,742.3398438,605.1601563,647.1679688,773.4140625,720.40625,633.625,840.0976563,737.3867188,747.6679688,812.8515625,781.1328125,104.1523438,819.9453125,866.1210938,640.203125,806.7265625,852.0742188,47.73828125,791.9804688,672.6757813,40.89453125,723.3359375,978.828125,1297.773438,962.7929688,1,1,1,1,9.071875,12.415625,12.39375,40.92811784,60.42491179,65.94924984
1721284543,4.6552425,0.388955,0.3042425,0.577475,0.65182,0.8682725,0.422695,0.542905,0.1413325,0.575835,0.5517225,0.6132375,3.2428075,0.405075,0.761945,0.54303,0.5214575,0.437555,1.54039,8.152735,0.467195,0.0167325,0.5456325,0.414135,0.50067,0.57017,0.4136875,0.5646425,0.4135025,0.6450675,0.8440325,0.77487,0.5181675,0.500505,0.5077275,0.50378,0.052665,0.460495,0.4033025,0.56856,1.960405,0.52393,0,0.494625,0.635325,0.027265,0.4414825,3.4785375,4.824425,3.3884225,294.5351563,686.3046875,737.4609375,717.0898438,687.1601563,735.8007813,785.6132813,825.1679688,319.0429688,709.1132813,720.0976563,821.6992188,739.265625,774.9960938,833.1289063,729.5429688,701.4179688,724.1835938,903.5273438,862.9140625,786.7265625,6.58984375,806.0507813,777.1367188,883.5546875,742.3398438,605.1601563,647.1679688,773.4140625,720.40625,633.625,840.0976563,737.3867188,747.6679688,812.8515625,781.1328125,104.1523438,819.9453125,866.1210938,640.203125,806.7265625,852.0742188,47.73828125,791.9804688,672.6757813,40.89453125,723.3359375,978.828125,1297.773438,962.7929688,1,1,1,1,9.071875,12.415625,12.3375,40.92811784,60.42491179,65.95853669
1721284544,4.6552425,0.388955,0.3042425,0.577475,0.65182,0.8682725,0.422695,0.542905,0.1413325,0.575835,0.5517225,0.6132375,3.2428075,0.405075,0.761945,0.54303,0.441905,0.437555,1.54039,8.152735,0.467195,0.0167325,0.448325,0.355925,0.50067,0.57017,0.50676,0.5646425,0.5225375,0.6450675,0.8440325,0.77487,0.59107,0.500505,0.5077275,0.50378,0.0503175,0.460495,0.5607625,0.56856,1.960405,0.5968925,0,0.494625,0.635325,0.027265,0.4414825,3.4785375,4.824425,3.95812,294.5351563,686.3046875,737.4609375,717.0898438,687.1601563,735.8007813,785.6132813,825.1679688,319.0429688,709.1132813,720.0976563,821.6992188,739.265625,774.9960938,833.1289063,729.5429688,701.4179688,724.1835938,903.5273438,862.9140625,786.7265625,6.58984375,806.0507813,777.1367188,883.5546875,742.3398438,605.1523438,647.1679688,773.4101563,720.40625,633.625,840.0976563,737.390625,747.6679688,812.8515625,781.1328125,104.1523438,819.9453125,866.1289063,640.203125,806.7265625,852.34375,47.73828125,791.9804688,672.6757813,40.89453125,723.3359375,978.828125,1297.773438,962.8046875,1,1,1,1,8.996875,12.415625,12.3375,40.89639592,60.42491179,65.95853669
1721284545,4.6552425,0.388955,0.3042425,0.577475,0.65182,0.8682725,0.422695,0.542905,0.1413325,0.575835,0.5517225,0.6132375,3.2428075,0.405075,0.761945,0.54303,0.441905,0.437555,1.54039,8.152735,0.467195,0.0167325,0.448325,0.355925,0.50067,0.57017,0.50676,0.5646425,0.5225375,0.6450675,0.8440325,0.77487,0.59107,0.500505,0.5077275,0.50378,0.0503175,0.460495,0.5607625,0.56856,1.960405,0.5968925,0,0.494625,0.635325,0.027265,0.4414825,3.4785375,4.824425,3.95812,294.5351563,686.3046875,737.4609375,717.0898438,687.1601563,735.8007813,785.6132813,825.1679688,319.0429688,709.1132813,720.0976563,821.6992188,739.265625,774.9960938,833.1289063,729.5429688,701.4179688,724.1835938,903.5273438,862.9140625,786.7265625,6.58984375,806.0507813,777.1367188,883.5546875,742.3398438,605.1523438,647.1679688,773.4101563,720.40625,633.625,840.0976563,737.390625,747.6679688,812.8515625,781.1328125,104.1523438,819.9453125,866.1289063,640.203125,806.7265625,852.34375,47.73828125,791.9804688,672.6757813,40.89453125,723.3359375,978.828125,1297.773438,962.8046875,1,1,1,1,8.996875,12.415625,12.3375,40.89639592,60.42491179,65.95853669
1721284546,4.6552425,0.388955,0.3042425,0.577475,0.65182,0.8682725,0.422695,0.542905,0.1413325,0.575835,0.5517225,0.6132375,3.2428075,0.405075,0.761945,0.54303,0.441905,0.437555,1.54039,8.152735,0.467195,0.0167325,0.448325,0.355925,0.50067,0.57017,0.50676,0.5646425,0.5225375,0.6450675,0.8440325,0.77487,0.59107,0.500505,0.5077275,0.50378,0.0503175,0.460495,0.5607625,0.56856,1.960405,0.5968925,0,0.494625,0.635325,0.027265,0.4414825,3.4785375,4.824425,3.95812,294.5351563,686.3046875,737.4609375,717.0898438,687.1601563,735.8007813,785.6132813,825.1679688,319.0429688,709.1132813,720.0976563,821.6992188,739.265625,774.9960938,833.1289063,729.5429688,701.4179688,724.1835938,903.5273438,862.9140625,786.7265625,6.58984375,806.0507813,777.1367188,883.5546875,742.3398438,605.1523438,647.1679688,773.4101563,720.40625,633.625,840.0976563,737.390625,747.6679688,812.8515625,781.1328125,104.1523438,819.9453125,866.1289063,640.203125,806.7265625,852.34375,47.73828125,791.9804688,672.6757813,40.89453125,723.3359375,978.828125,1297.773438,962.8046875,1,1,1,1,8.996875,12.40625,12.3375,40.89639592,60.41750676,65.95853669
