time,rabbitmq_cpu,ts-admin-basic-info-service_cpu,ts-admin-order-service_cpu,ts-admin-route-service_cpu,ts-admin-travel-service_cpu,ts-admin-user-service_cpu,ts-assurance-service_cpu,ts-auth-service_cpu,ts-avatar-service_cpu,ts-basic-service_cpu,ts-cancel-service_cpu,ts-config-service_cpu,ts-consign-price-service_cpu,ts-consign-service_cpu,ts-contacts-service_cpu,ts-delivery-service_cpu,ts-execute-service_cpu,ts-food-delivery-service_cpu,ts-food-service_cpu,ts-gateway-service_cpu,ts-inside-payment-service_cpu,ts-news-service_cpu,ts-notification-service_cpu,ts-order-other-service_cpu,ts-order-service_cpu,ts-payment-service_cpu,ts-preserve-other-service_cpu,ts-preserve-service_cpu,ts-price-service_cpu,ts-rebook-service_cpu,ts-route-plan-service_cpu,ts-route-service_cpu,ts-seat-service_cpu,ts-security-service_cpu,ts-station-food-service_cpu,ts-station-service_cpu,ts-ticket-office-service_cpu,ts-train-food-service_cpu,ts-train-service_cpu,ts-travel-plan-service_cpu,ts-travel-service_cpu,ts-travel2-service_cpu,ts-ui-dashboard_cpu,ts-user-service_cpu,ts-verification-code-service_cpu,ts-voucher-service_cpu,ts-wait-order-service_cpu,tsdb-mysql-0_cpu,tsdb-mysql-1_cpu,tsdb-mysql-2_cpu,rabbitmq_mem,ts-admin-basic-info-service_mem,ts-admin-order-service_mem,ts-admin-route-service_mem,ts-admin-travel-service_mem,ts-admin-user-service_mem,ts-assurance-service_mem,ts-auth-service_mem,ts-avatar-service_mem,ts-basic-service_mem,ts-cancel-service_mem,ts-config-service_mem,ts-consign-price-service_mem,ts-consign-service_mem,ts-contacts-service_mem,ts-delivery-service_mem,ts-execute-service_mem,ts-food-delivery-service_mem,ts-food-service_mem,ts-gateway-service_mem,ts-inside-payment-service_mem,ts-news-service_mem,ts-notification-service_mem,ts-order-other-service_mem,ts-order-service_mem,ts-payment-service_mem,ts-preserve-other-service_mem,ts-preserve-service_mem,ts-price-service_mem,ts-rebook-service_mem,ts-route-plan-service_mem,ts-route-service_mem,ts-seat-service_mem,ts-security-service_mem,ts-station-food-service_mem,ts-station-service_mem,ts-ticket-office-service_mem,ts-train-food-service_mem,ts-train-service_mem,ts-travel-plan-service_mem,ts-travel-service_mem,ts-travel2-service_mem,ts-ui-dashboard_mem,ts-user-service_mem,ts-verification-code-service_mem,ts-voucher-service_mem,ts-wait-order-service_mem,tsdb-mysql-0_mem,tsdb-mysql-1_mem,tsdb-mysql-2_mem,ts-station-service_load,ts-train-service_load,ts-order-service_load,ts-travel-service_load
1721292417,0.7083775,0.51855,0.5000625,0.5344825,0.5447125,0.4351125,0.533595,0.42811,0.07377,0.551345,0.50655,0.4307675,0.7545875,0.586855,0.4945575,0.6778475,0.5353875,0.6057875,0.416085,9.2298575,0.5847175,0.0145425,0.5121125,0.52438,0.5469275,0.5421075,0.52497,0.7200125,0.4000375,0.49683,0.70504,0.3889375,0.5473375,0.5176975,0.466665,87.8290975,0.02234,0.59828,0.552815,0.473705,0.4427175,0.4978425,0,0.5532225,0.52776,0.02221,0.4189225,3.6044325,4.516995,3.6040475,294.7460938,686.75,735.7539063,716.0390625,685.4882813,733.890625,783.9140625,836.3164063,319.0507813,681.828125,720.0703125,820.71875,737.1914063,773.4921875,831.2773438,729.5585938,699.4453125,722.109375,904.1015625,864.3554688,786.3203125,6.66796875,804.1484375,775.1679688,881.671875,741.25,604.2382813,647.0742188,773.3984375,718.5820313,632.28125,838.3164063,735.4570313,745.6523438,808.9375,778.0585938,110.5976563,818.8203125,866.25,638.0390625,817.5820313,850.0898438,47.73828125,789.9726563,670.8320313,40.89453125,721.4882813,894.8867188,1303.628906,962.796875,1,1,1,1
1721292418,0.7083775,0.51855,0.5000625,0.5344825,0.5447125,0.4351125,0.533595,0.42811,0.07377,0.551345,0.50655,0.4307675,0.7545875,0.586855,0.4945575,0.6778475,0.5353875,0.6057875,0.416085,9.2298575,0.5847175,0.0145425,0.5121125,0.52438,0.5469275,0.5421075,0.52497,0.7200125,0.4000375,0.49683,0.70504,0.3889375,0.5473375,0.5176975,0.466665,87.8290975,0.02234,0.59828,0.552815,0.473705,0.4427175,0.4978425,0,0.5532225,0.52776,0.02221,0.4189225,3.6044325,4.516995,3.6040475,294.7460938,686.75,735.7539063,716.0390625,685.4882813,733.890625,783.9140625,836.3164063,319.0507813,681.828125,720.0703125,820.71875,737.1914063,773.4921875,831.2773438,729.5585938,699.4453125,722.109375,904.1015625,864.3554688,786.3203125,6.66796875,804.1484375,775.1679688,881.671875,741.25,604.2382813,647.0742188,773.3984375,718.5820313,632.28125,838.3164063,735.4570313,745.6523438,808.9375,778.0585938,110.5976563,818.8203125,866.25,638.0390625,817.5820313,850.0898438,47.73828125,789.9726563,670.8320313,40.89453125,721.4882813,894.8867188,1303.628906,962.796875,1,1,1,1
1721292419,0.7083775,0.51855,0.5000625,0.5344825,0.5447125,0.4351125,0.533595,0.42811,0.07377,0.551345,0.50655,0.4307675,0.7545875,0.586855,0.4945575,0.6778475,0.4897875,0.6057875,0.416085,9.2298575,0.5847175,0.0145425,0.4666125,0.52438,0.5469275,0.5421075,0.4045775,0.7200125,0.4314375,0.49683,0.70504,0.3889375,0.5473375,0.5176975,0.466665,87.8290975,0.01982,0.59828,0.4549675,0.473705,0.4427175,0.4009375,0,0.5532225,0.52776,0.0282875,0.4189225,3.6044325,4.516995,4.4473375,294.7460938,686.75,735.7539063,716.0390625,685.4882813,733.890625,783.9140625,836.3164063,319.0507813,681.828125,720.0703125,820.71875,737.1914063,773.4921875,831.2773438,729.5585938,699.4453125,722.109375,904.1015625,864.3554688,786.3203125,6.66796875,804.2617188,775.1679688,881.671875,741.25,604.2421875,647.0742188,773.3945313,718.5820313,632.28125,838.3164063,735.4570313,745.6523438,808.9375,778.0585938,110.5976563,818.8203125,866.25,638.0390625,817.5820313,850.0898438,47.73828125,789.9726563,670.8320313,40.89453125,721.4882813,894.8867188,1303.628906,962.8046875,1,1,1,1
1721292420,0.7083775,0.51855,0.5000625,0.5344825,0.5447125,0.4351125,0.533595,0.42811,0.07377,0.551345,0.50655,0.4307675,0.7545875,0.586855,0.4945575,0.6778475,0.4897875,0.6057875,0.416085,9.2298575,0.5847175,0.0145425,0.4666125,0.52438,0.5469275,0.5421075,0.4045775,0.7200125,0.4314375,0.49683,0.70504,0.3889375,0.5473375,0.5176975,0.466665,87.8290975,0.01982,0.59828,0.4549675,0.473705,0.4427175,0.4009375,0,0.5532225,0.52776,0.0282875,0.4189225,3.6044325,4.516995,4.4473375,294.7460938,686.75,735.7539063,716.0390625,685.4882813,733.890625,783.9140625,836.3164063,319.0507813,681.828125,720.0703125,820.71875,737.1914063,773.4921875,831.2773438,729.5585938,699.4453125,722.109375,904.1015625,864.3554688,786.3203125,6.66796875,804.2617188,775.1679688,881.671875,741.25,604.2421875,647.0742188,773.3945313,718.5820313,632.28125,838.3164063,735.4570313,745.6523438,808.9375,778.0585938,110.5976563,818.8203125,866.25,638.0390625,817.5820313,850.0898438,47.73828125,789.9726563,670.8320313,40.89453125,721.4882813,894.8867188,1303.628906,962.8046875,1,1,1,1
1721292421,0.7083775,0.51855,0.5000625,0.5344825,0.5447125,0.4351125,0.533595,0.42811,0.07377,0.551345,0.50655,0.4307675,0.7545875,0.586855,0.4945575,0.6778475,0.4897875,0.6057875,0.416085,9.2298575,0.5847175,0.0145425,0.4666125,0.52438,0.5469275,0.5421075,0.4045775,0.7200125,0.4314375,0.49683,0.70504,0.3889375,0.5473375,0.5176975,0.466665,87.8290975,0.01982,0.59828,0.4549675,0.473705,0.4427175,0.4009375,0,0.5532225,0.52776,0.0282875,0.4189225,3.6044325,4.516995,4.4473375,294.7460938,686.75,735.7539063,716.0390625,685.4882813,733.890625,783.9140625,836.3164063,319.0507813,681.828125,720.0703125,820.71875,737.1914063,773.4921875,831.2773438,729.5585938,699.4453125,722.109375,904.1015625,864.3554688,786.3203125,6.66796875,804.2617188,775.1679688,881.671875,741.25,604.2421875,647.0742188,773.3945313,718.5820313,632.28125,838.3164063,735.4570313,745.6523438,808.9375,778.0585938,110.5976563,818.8203125,866.25,638.0390625,817.5820313,850.0898438,47.73828125,789.9726563,670.8320313,40.89453125,721.4882813,894.8867188,1303.628906,962.8046875,1,1,1,1
1721292422,0.9742,0.4398775,0.402445,0.3439525,0.6777125,0.42936,0.50416,0.5211825,0.089545,0.6574325,0.4320475,0.484115,0.5581125,0.5633725,0.5643875,0.531425,0.4897875,0.5080975,0.4754775,7.9501525,0.64508,0.0145975,0.4666125,0.52438,0.45034,0.6214425,0.4045775,0.64753,0.4314375,0.4144175,0.4775675,0.3889375,0.5473375,0.5176975,0.44,87.8290975,0.01982,0.59828,0.4549675,0.497685,0.6398825,0.4009375,0,0.5532225,0.3690525,0.0282875,0.5144725,3.3737275,4.25121,4.4473375,294.7460938,686.75,735.7539063,716.0390625,685.4609375,733.8867188,783.8203125,836.3203125,319.0507813,681.9296875,720.0703125,820.7148438,737.1914063,773.4296875,831.28125,729.5585938,699.4453125,722.109375,904.1015625,864.3554688,786.2890625,6.66796875,804.2617188,775.1679688,881.671875,741.2460938,604.2421875,647.0742188,773.3945313,718.5820313,632.28125,838.3164063,735.4570313,745.6523438,808.9335938,778.0585938,110.5976563,818.8203125,866.25,638.0625,817.578125,850.0898438,47.73828125,789.9726563,670.8320313,40.89453125,721.484375,894.8867188,1303.628906,962.8046875,1,1,1,1
1721292423,0.9742,0.4398775,0.402445,0.3439525,0.6777125,0.42936,0.50416,0.5211825,0.089545,0.6574325,0.4320475,0.484115,0.5581125,0.5633725,0.5643875,0.531425,0.4897875,0.5080975,0.4754775,7.9501525,0.64508,0.0145975,0.4666125,0.52438,0.45034,0.6214425,0.4045775,0.64753,0.4314375,0.4144175,0.4775675,0.3889375,0.5473375,0.5176975,0.44,87.8290975,0.01982,0.59828,0.4549675,0.497685,0.6398825,0.4009375,0,0.5532225,0.3690525,0.0282875,0.5144725,3.3737275,4.25121,4.4473375,294.7460938,686.75,735.7539063,716.0390625,685.4609375,733.8867188,783.8203125,836.3203125,319.0507813,681.9296875,720.0703125,820.7148438,737.1914063,773.4296875,831.28125,729.5585938,699.4453125,722.109375,904.1015625,864.3554688,786.2890625,6.66796875,804.2617188,775.1679688,881.671875,741.2460938,604.2421875,647.0742188,773.3945313,718.5820313,632.28125,838.3164063,735.4570313,745.6523438,808.9335938,778.0585938,110.5976563,818.8203125,866.25,638.0625,817.578125,850.0898438,47.73828125,789.9726563,670.8320313,40.89453125,721.484375,894.8867188,1303.628906,962.8046875,1,1,1,1
1721292424,0.9742,0.4398775,0.402445,0.3439525,0.6777125,0.42936,0.50416,0.5211825,0.089545,0.6574325,0.4320475,0.484115,0.5581125,0.5633725,0.5643875,0.531425,0.4692475,0.5080975,0.4754775,7.9501525,0.64508,0.0145975,0.4666125,0.44497,0.45034,0.6214425,0.4606425,0.64753,0.3516325,0.4144175,0.4775675,0.3889375,0.508845,0.5176975,0.44,87.8290975,0.0194025,0.59828,0.4549675,0.497685,0.6398825,0.4009375,0,0.5532225,0.3690525,0.0248575,0.5144725,3.3737275,4.25121,3.6121925,294.7460938,686.75,735.7539063,716.0390625,685.4609375,733.8867188,783.8203125,836.3203125,319.0507813,681.9296875,720.0703125,820.7148438,737.1914063,773.4296875,831.28125,729.5585938,699.4414063,722.109375,904.1015625,864.3554688,786.2890625,6.66796875,804.2617188,775.1601563,881.671875,741.2460938,604.2382813,647.0742188,773.3945313,718.5820313,632.28125,838.3164063,735.4023438,745.6523438,808.9335938,778.0585938,110.6132813,818.8203125,866.25,638.0625,817.578125,850.0898438,47.73828125,789.9726563,670.8320313,40.89453125,721.484375,894.8867188,1303.628906,962.8007813,1,1,1,1
1721292425,0.9742,0.4398775,0.402445,0.3439525,0.6777125,0.42936,0.50416,0.5211825,0.089545,0.6574325,0.4320475,0.484115,0.5581125,0.5633725,0.5643875,0.531425,0.4692475,0.5080975,0.4754775,7.9501525,0.64508,0.0145975,0.4666125,0.44497,0.45034,0.6214425,0.4606425,0.64753,0.3516325,0.4144175,0.4775675,0.3889375,0.508845,0.5176975,0.44,87.8290975,0.0194025,0.59828,0.4549675,0.497685,0.6398825,0.4009375,0,0.5532225,0.3690525,0.0248575,0.5144725,3.3737275,4.25121,3.6121925,294.7460938,686.75,735.7539063,716.0390625,685.4609375,733.8867188,783.8203125,836.3203125,319.0507813,681.9296875,720.0703125,820.7148438,737.1914063,773.4296875,831.28125,729.5585938,699.4414063,722.109375,904.1015625,864.3554688,786.2890625,6.66796875,804.2617188,775.1601563,881.671875,741.2460938,604.2382813,647.0742188,773.3945313,718.5820313,632.28125,838.3164063,735.4023438,745.6523438,808.9335938,778.0585938,110.6132813,818.8203125,866.25,638.0625,817.578125,850.0898438,47.73828125,789.9726563,670.8320313,40.89453125,721.484375,894.8867188,1303.628906,962.8007813,1,1,1,1
1721292426,0.9742,0.4398775,0.402445,0.3439525,0.6777125,0.42936,0.50416,0.5211825,0.089545,0.6574325,0.4320475,0.484115,0.5581125,0.5633725,0.5643875,0.531425,0.4692475,0.5080975,0.4754775,7.9501525,0.64508,0.0145975,0.4666125,0.44497,0.45034,0.6214425,0.4606425,0.64753,0.3516325,0.4144175,0.4775675,0.3889375,0.508845,0.5176975,0.44,87.8290975,0.0194025,0.59828,0.4549675,0.497685,0.6398825,0.4009375,0,0.5532225,0.3690525,0.0248575,0.5144725,3.3737275,4.25121,3.6121925,294.7460938,686.75,735.7539063,716.0390625,685.4609375,733.8867188,783.8203125,836.3203125,319.0507813,681.9296875,720.0703125,820.7148438,737.1914063,773.4296875,831.28125,729.5585938,699.4414063,722.109375,904.1015625,864.3554688,786.2890625,6.66796875,804.2617188,775.1601563,881.671875,741.2460938,604.2382813,647.0742188,773.3945313,718.5820313,632.28125,838.3164063,735.4023438,745.6523438,808.9335938,778.0585938,110.6132813,818.8203125,866.25,638.0625,817.578125,850.0898438,47.73828125,789.9726563,670.8320313,40.89453125,721.484375,894.8867188,1303.628906,962.8007813,1,1,1,1
