time,rabbitmq_cpu,ts-admin-basic-info-service_cpu,ts-admin-order-service_cpu,ts-admin-route-service_cpu,ts-admin-travel-service_cpu,ts-admin-user-service_cpu,ts-assurance-service_cpu,ts-auth-service_cpu,ts-avatar-service_cpu,ts-basic-service_cpu,ts-cancel-service_cpu,ts-config-service_cpu,ts-consign-price-service_cpu,ts-consign-service_cpu,ts-contacts-service_cpu,ts-delivery-service_cpu,ts-execute-service_cpu,ts-food-delivery-service_cpu,ts-food-service_cpu,ts-gateway-service_cpu,ts-inside-payment-service_cpu,ts-news-service_cpu,ts-notification-service_cpu,ts-order-other-service_cpu,ts-order-service_cpu,ts-payment-service_cpu,ts-preserve-other-service_cpu,ts-preserve-service_cpu,ts-price-service_cpu,ts-rebook-service_cpu,ts-route-plan-service_cpu,ts-route-service_cpu,ts-seat-service_cpu,ts-security-service_cpu,ts-station-food-service_cpu,ts-station-service_cpu,ts-ticket-office-service_cpu,ts-train-food-service_cpu,ts-train-service_cpu,ts-travel-plan-service_cpu,ts-travel-service_cpu,ts-travel2-service_cpu,ts-ui-dashboard_cpu,ts-user-service_cpu,ts-verification-code-service_cpu,ts-voucher-service_cpu,ts-wait-order-service_cpu,tsdb-mysql-0_cpu,tsdb-mysql-1_cpu,tsdb-mysql-2_cpu,rabbitmq_mem,ts-admin-basic-info-service_mem,ts-admin-order-service_mem,ts-admin-route-service_mem,ts-admin-travel-service_mem,ts-admin-user-service_mem,ts-assurance-service_mem,ts-auth-service_mem,ts-avatar-service_mem,ts-basic-service_mem,ts-cancel-service_mem,ts-config-service_mem,ts-consign-price-service_mem,ts-consign-service_mem,ts-contacts-service_mem,ts-delivery-service_mem,ts-execute-service_mem,ts-food-delivery-service_mem,ts-food-service_mem,ts-gateway-service_mem,ts-inside-payment-service_mem,ts-news-service_mem,ts-notification-service_mem,ts-order-other-service_mem,ts-order-service_mem,ts-payment-service_mem,ts-preserve-other-service_mem,ts-preserve-service_mem,ts-price-service_mem,ts-rebook-service_mem,ts-route-plan-service_mem,ts-route-service_mem,ts-seat-service_mem,ts-security-service_mem,ts-station-food-service_mem,ts-station-service_mem,ts-ticket-office-service_mem,ts-train-food-service_mem,ts-train-service_mem,ts-travel-plan-service_mem,ts-travel-service_mem,ts-travel2-service_mem,ts-ui-dashboard_mem,ts-user-service_mem,ts-verification-code-service_mem,ts-voucher-service_mem,ts-wait-order-service_mem,tsdb-mysql-0_mem,tsdb-mysql-1_mem,tsdb-mysql-2_mem,ts-station-service_load,ts-train-service_load,ts-order-service_load,ts-travel-service_load,k8s-2_node_cpu,k8s-3_node_cpu,k8s-4_node_cpu,k8s-2_node_mem,k8s-3_node_mem,k8s-4_node_mem
1721223143,3.95216,0.4955025,0.4605075,0.57341,0.4264375,0.562515,0.4266125,0.668625,0.1886275,0.482685,0.69845,0.47905,0.5918875,0.4821675,0.69362,0.5458275,0.58843,0.564065,0.48761,8.960595,0.4974725,0.05575,0.5518175,0.494345,0.6540575,0.4877,0.434785,0.65896,0.599285,0.5867325,0.7126925,0.518195,0.48198,0.46348,0.432445,0.4053425,0.0460025,0.627215,0.5676125,0.5736525,0.60874,0.62518,0,0.56092,0.4925925,0.0390325,0.325605,3.415715,4.4322075,3.94335,303.4023438,701.9414063,750.7382813,722.1210938,699.9257813,760.5546875,803.7382813,840.3515625,321.0429688,724.0703125,738.2773438,835.1289063,757.3320313,785.359375,858.4570313,740.65625,714.3398438,742.828125,922.8710938,857.8359375,787.6015625,6.48046875,823.5039063,787.2460938,901.9023438,746.4648438,616.9023438,649.1796875,775.2851563,727.3945313,654.5976563,866.1953125,755.8554688,763.8710938,831.6445313,791.4335938,102.7304688,844.8554688,879.578125,655.9648438,897.8398438,868.4609375,50.92578125,804.796875,689.2890625,40.88671875,741.5976563,983.8046875,1292.386719,962.5351563,1,1,1,1,8.909375,12.1,11.871875,41.15349498,61.07694534,66.62437894
1721223144,3.95216,0.4955025,0.4605075,0.57341,0.4264375,0.562515,0.4266125,0.668625,0.1886275,0.482685,0.69845,0.47905,0.5918875,0.4821675,0.69362,0.5458275,0.58843,0.564065,0.48761,8.960595,0.4974725,0.05575,0.5518175,0.494345,0.6540575,0.4877,0.434785,0.65896,0.599285,0.5867325,0.7126925,0.518195,0.48198,0.46348,0.432445,0.4053425,0.0460025,0.627215,0.5676125,0.5736525,0.60874,0.62518,0,0.56092,0.4925925,0.0390325,0.325605,3.415715,4.4322075,3.94335,303.4023438,701.9414063,750.7382813,722.1210938,699.9257813,760.5546875,803.7382813,840.3515625,321.0429688,724.0703125,738.2773438,835.1289063,757.3320313,785.359375,858.4570313,740.65625,714.3398438,742.828125,922.8710938,857.8359375,787.6015625,6.48046875,823.5039063,787.2460938,901.9023438,746.4648438,616.9023438,649.1796875,775.2851563,727.3945313,654.5976563,866.1953125,755.8554688,763.8710938,831.6445313,791.4335938,102.7304688,844.8554688,879.578125,655.9648438,897.8398438,868.4609375,50.92578125,804.796875,689.2890625,40.88671875,741.5976563,983.8046875,1292.386719,962.5351563,1,1,1,1,8.909375,12.1,11.871875,41.15349498,61.07694534,66.62437894
1721223145,3.95216,0.4955025,0.4605075,0.57341,0.4264375,0.562515,0.4266125,0.668625,0.1886275,0.482685,0.69845,0.47905,0.5918875,0.4821675,0.69362,0.5458275,0.58843,0.564065,0.48761,8.960595,0.4974725,0.05575,0.5518175,0.494345,0.6540575,0.4877,0.434785,0.65896,0.599285,0.5867325,0.7126925,0.518195,0.48198,0.46348,0.432445,0.4053425,0.0460025,0.627215,0.5676125,0.5736525,0.60874,0.62518,0,0.56092,0.4925925,0.0390325,0.325605,3.415715,4.4322075,3.94335,303.4023438,701.9414063,750.7382813,722.1210938,699.9257813,760.5546875,803.7382813,840.3515625,321.0429688,724.0703125,738.2773438,835.1289063,757.3320313,785.359375,858.4570313,740.65625,714.3398438,742.828125,922.8710938,857.8359375,787.6015625,6.48046875,823.5039063,787.2460938,901.9023438,746.4648438,616.9023438,649.1796875,775.2851563,727.3945313,654.5976563,866.1953125,755.8554688,763.8710938,831.6445313,791.4335938,102.7304688,844.8554688,879.578125,655.9648438,897.8398438,868.4609375,50.92578125,804.796875,689.2890625,40.88671875,741.5976563,983.8046875,1292.386719,962.5351563,1,1,1,1,8.909375,12.1,11.871875,41.15349498,61.07694534,66.62437894
1721223146,3.95216,0.4955025,0.4605075,0.57341,0.4264375,0.562515,0.4266125,0.668625,0.1886275,0.482685,0.69845,0.47905,0.5918875,0.4821675,0.69362,0.5458275,0.58843,0.564065,0.48761,8.960595,0.4974725,0.05575,0.5518175,0.494345,0.6540575,0.4877,0.434785,0.65896,0.599285,0.5867325,0.7126925,0.518195,0.48198,0.46348,0.432445,0.4053425,0.0460025,0.627215,0.5676125,0.5736525,0.60874,0.62518,0,0.56092,0.4925925,0.0390325,0.325605,3.415715,4.4322075,3.94335,303.4023438,701.9414063,750.7382813,722.1210938,699.9257813,760.5546875,803.7382813,840.3515625,321.0429688,724.0703125,738.2773438,835.1289063,757.3320313,785.359375,858.4570313,740.65625,714.3398438,742.828125,922.8710938,857.8359375,787.6015625,6.48046875,823.5039063,787.2460938,901.9023438,746.4648438,616.9023438,649.1796875,775.2851563,727.3945313,654.5976563,866.1953125,755.8554688,763.8710938,831.6445313,791.4335938,102.7304688,844.8554688,879.578125,655.9648438,897.8398438,868.4609375,50.92578125,804.796875,689.2890625,40.88671875,741.5976563,983.8046875,1292.386719,962.5351563,1,1,1,1,8.909375,12.1,11.871875,41.15349498,61.07694534,66.62437894
1721223147,3.794325,0.6294775,0.4605075,0.4408125,0.4264375,0.5619375,0.4266125,0.668625,0.19643,0.482685,0.7280475,0.47905,0.5918875,0.4821675,0.69362,0.5458275,0.58843,0.564065,0.79033,8.3278875,0.4974725,0.03345,0.5518175,0.494345,0.580975,0.4877,0.434785,0.65896,0.599285,0.5135825,0.7126925,0.518195,0.48198,0.46348,0.5342075,0.4053425,0.0460025,0.7860675,0.5676125,0.5736525,0.786995,0.62518,0,0.56092,0.4925925,0.0390325,0.325605,3.415715,4.9828275,3.94335,303.4023438,701.9921875,750.7382813,722.1210938,699.9257813,760.5507813,803.7382813,840.3515625,321.0351563,724.0703125,738.4335938,835.1289063,757.3320313,785.359375,858.4570313,740.65625,714.3398438,742.828125,923.0234375,858.03125,787.6015625,6.48046875,823.5039063,787.2460938,901.9023438,746.4648438,616.9023438,649.1796875,775.2851563,727.3945313,654.5976563,866.1953125,755.8554688,763.8710938,831.4257813,791.4335938,102.7304688,844.859375,879.578125,655.9648438,897.8085938,868.4609375,50.92578125,804.796875,689.2890625,40.88671875,741.5976563,983.8046875,1292.417969,962.5351563,1,1,1,1,8.909375,12.109375,11.89375,41.15349498,61.10087115,66.52632942
1721223148,3.794325,0.6294775,0.51103,0.4408125,0.6621925,0.5619375,0.438675,0.64808,0.19643,0.6240825,0.7280475,0.47905,0.5918875,0.631055,0.69362,0.51782,0.58843,0.4797525,0.79033,8.3278875,0.4974725,0.03345,0.5518175,0.37731,0.580975,0.4783425,0.4276675,0.5498325,0.7235825,0.5135825,0.76727,0.518195,0.59382,0.3776325,0.5342075,0.5023025,0.06656,0.7860675,0.5943375,0.687245,0.786995,0.729155,0,0.4604675,0.4925925,0.02803,0.5141475,3.9242,4.9828275,4.8332175,303.4023438,701.9921875,750.7304688,722.1210938,699.9335938,760.5507813,803.7382813,840.2890625,321.0351563,724.09375,738.4335938,835.1289063,757.3320313,785.3554688,858.4570313,740.4882813,714.3398438,742.828125,923.0234375,858.03125,787.6015625,6.48046875,823.5039063,787.2460938,901.9023438,746.7617188,616.9296875,649.1796875,775.2890625,727.3945313,654.6015625,866.1953125,755.7929688,763.8710938,831.4257813,791.3476563,102.7460938,844.859375,879.7265625,655.96875,897.8085938,868.4921875,50.92578125,804.796875,689.2890625,40.88671875,741.5664063,983.5585938,1292.417969,962.5351563,1,1,1,1,8.865625,12.109375,11.89375,41.17197092,61.10087115,66.52632942
1721223149,3.794325,0.6294775,0.51103,0.4408125,0.6621925,0.5619375,0.438675,0.64808,0.19643,0.6240825,0.7280475,0.47905,0.5918875,0.631055,0.69362,0.51782,0.58843,0.4797525,0.79033,8.3278875,0.4974725,0.03345,0.5518175,0.37731,0.580975,0.4783425,0.4276675,0.5498325,0.7235825,0.5135825,0.76727,0.518195,0.59382,0.3776325,0.5342075,0.5023025,0.06656,0.7860675,0.5943375,0.687245,0.786995,0.729155,0,0.4604675,0.4925925,0.02803,0.5141475,3.9242,4.9828275,4.8332175,303.4023438,701.9921875,750.7304688,722.1210938,699.9335938,760.5507813,803.7382813,840.2890625,321.0351563,724.09375,738.4335938,835.1289063,757.3320313,785.3554688,858.4570313,740.4882813,714.3398438,742.828125,923.0234375,858.03125,787.6015625,6.48046875,823.5039063,787.2460938,901.9023438,746.7617188,616.9296875,649.1796875,775.2890625,727.3945313,654.6015625,866.1953125,755.7929688,763.8710938,831.4257813,791.3476563,102.7460938,844.859375,879.7265625,655.96875,897.8085938,868.4921875,50.92578125,804.796875,689.2890625,40.88671875,741.5664063,983.5585938,1292.417969,962.5351563,1,1,1,1,8.865625,12.109375,11.89375,41.17197092,61.10087115,66.52632942
1721223150,3.794325,0.6294775,0.51103,0.4408125,0.6621925,0.5619375,0.438675,0.64808,0.19643,0.6240825,0.7280475,0.47905,0.5918875,0.631055,0.69362,0.51782,0.58843,0.4797525,0.79033,8.3278875,0.4974725,0.03345,0.5518175,0.37731,0.580975,0.4783425,0.4276675,0.5498325,0.7235825,0.5135825,0.76727,0.518195,0.59382,0.3776325,0.5342075,0.5023025,0.06656,0.7860675,0.5943375,0.687245,0.786995,0.729155,0,0.4604675,0.4925925,0.02803,0.5141475,3.9242,4.9828275,4.8332175,303.4023438,701.9921875,750.7304688,722.1210938,699.9335938,760.5507813,803.7382813,840.2890625,321.0351563,724.09375,738.4335938,835.1289063,757.3320313,785.3554688,858.4570313,740.4882813,714.3398438,742.828125,923.0234375,858.03125,787.6015625,6.48046875,823.5039063,787.2460938,901.9023438,746.7617188,616.9296875,649.1796875,775.2890625,727.3945313,654.6015625,866.1953125,755.7929688,763.8710938,831.4257813,791.3476563,102.7460938,844.859375,879.7265625,655.96875,897.8085938,868.4921875,50.92578125,804.796875,689.2890625,40.88671875,741.5664063,983.5585938,1292.417969,962.5351563,1,1,1,1,8.865625,12.109375,11.89375,41.17197092,61.10087115,66.52632942
1721223151,3.794325,0.6294775,0.51103,0.4408125,0.6621925,0.5619375,0.438675,0.64808,0.19643,0.6240825,0.7280475,0.47905,0.5918875,0.631055,0.69362,0.51782,0.58843,0.4797525,0.79033,8.3278875,0.4974725,0.03345,0.5518175,0.37731,0.580975,0.4783425,0.4276675,0.5498325,0.7235825,0.5135825,0.76727,0.518195,0.59382,0.3776325,0.5342075,0.5023025,0.06656,0.7860675,0.5943375,0.687245,0.786995,0.729155,0,0.4604675,0.4925925,0.02803,0.5141475,3.9242,4.9828275,4.8332175,303.4023438,701.9921875,750.7304688,722.1210938,699.9335938,760.5507813,803.7382813,840.2890625,321.0351563,724.09375,738.4335938,835.1289063,757.3320313,785.3554688,858.4570313,740.4882813,714.3398438,742.828125,923.0234375,858.03125,787.6015625,6.48046875,823.5039063,787.2460938,901.9023438,746.7617188,616.9296875,649.1796875,775.2890625,727.3945313,654.6015625,866.1953125,755.7929688,763.8710938,831.4257813,791.3476563,102.7460938,844.859375,879.7265625,655.96875,897.8085938,868.4921875,50.92578125,804.796875,689.2890625,40.88671875,741.5664063,983.5585938,1292.417969,962.5351563,1,9,1,1,8.865625,12.109375,11.89375,41.17197092,61.10087115,66.52632942
1721223152,3.794325,0.6159725,0.51103,0.4408125,0.6621925,0.575225,0.438675,0.64808,0.19643,0.6240825,0.5816525,0.3648425,0.5918875,0.631055,0.5490125,0.51782,0.58843,0.4797525,0.79033,8.570625,0.4974725,0.038395,0.5518175,0.37731,0.580975,0.4783425,0.4276675,0.5498325,0.7235825,0.5135825,0.76727,0.591075,0.59382,0.3776325,0.592235,0.5023025,0.06656,0.72037,0.5943375,0.687245,0.677825,0.729155,0,0.4604675,0.491335,0.02803,0.5141475,3.9242,3.955385,4.8332175,303.4023438,702.0195313,750.7304688,722.1210938,699.9335938,760.5507813,803.7382813,840.2890625,321.0351563,724.09375,738.4335938,835.1328125,757.3320313,785.3554688,858.4101563,740.4882813,714.3398438,742.828125,923.0234375,858.1640625,787.6015625,6.484375,823.5039063,787.2460938,901.9023438,746.7617188,616.9296875,649.1796875,775.2890625,727.3945313,654.6015625,866.1914063,755.7929688,763.8710938,831.421875,791.3476563,102.7460938,844.859375,879.7265625,655.96875,897.8085938,868.4921875,50.92578125,804.796875,689.34375,40.88671875,741.5664063,983.5585938,1292.417969,962.5351563,1,9,1,1,8.865625,11.915625,12.221875,41.17197092,61.11145326,66.53862227
